Year,LocationAbbr,LocationDesc,DataSource,PriorityArea1,PriorityArea2,PriorityArea3,PriorityArea4,Category,Topic,Indicator,Data_Value_Type,Data_Value_Unit,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,LowConfidenceLimit,HighConfidenceLimit,Break_Out_Category,Break_Out,CategoryId,TopicId,IndicatorID,Data_Value_TypeID,BreakOutCategoryId,BreakOutId,LocationID,GeoLocation
2009,MDW,Midwest,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Age-Standardized,Percent (%),25.9,25.9,,,23.7,28.2,Gender,Male,C2,T15,NS010,AgeStdz,BOC02,GEN01,9002,
2000,MDW,Midwest,NHIS,None,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+); NHIS,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Age,18-24,C1,T4,NS002,Crude,BOC03,AGE01,9002,
2017,MDW,Midwest,NHIS,None,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+); NHIS,Crude,Percent (%),6.8,6.8,,,6.0,7.6,Age,35+,C1,T4,NS002,Crude,BOC03,AGE07,9002,
2015,SOU,South,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (18+); NHIS,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Age,18-24,C1,T6,NS004,Crude,BOC03,AGE01,9003,
2005,MDW,Midwest,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (18+); NHIS,Crude,Percent (%),3.2,3.2,,,2.8,3.7,Age,35+,C1,T6,NS004,Crude,BOC03,AGE07,9002,
2007,MDW,Midwest,NHIS,None,None,Healthy People 2020,None,Risk Factors,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Age-Standardized,Percent (%),34.2,34.2,,,30.9,37.7,Gender,Female,C2,T14,NS011,AgeStdz,BOC02,GEN02,9002,
2012,MDW,Midwest,NHIS,None,None,None,None,Risk Factors,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Age,35+,C2,T9,NS013,Crude,BOC03,AGE07,9002,
2017,MDW,Midwest,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,Percent (%),16.9,16.9,,,15.5,18.3,Overall,Overall,C2,T15,NS010,Crude,BOC01,OVR01,9002,
2009,SOU,South,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,Percent (%),24.5,24.5,,,22.8,26.3,Gender,Male,C2,T15,NS010,Crude,BOC02,GEN01,9003,
2005,MDW,Midwest,NHIS,None,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+); NHIS,Age-Standardized,Percent (%),2.8,2.8,,,1.9,4.0,Race,Non-Hispanic Black,C1,T4,NS002,AgeStdz,BOC04,RAC02,9002,
2013,MDW,Midwest,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (18+); NHIS,Age-Standardized,Percent (%),2.3,2.3,,,1.9,2.8,Race,Non-Hispanic White,C1,T6,NS004,AgeStdz,BOC04,RAC01,9002,
2013,SOU,South,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (18+); NHIS,Crude,Percent (%),3.3,3.3,,,2.8,3.8,Gender,Male,C1,T6,NS004,Crude,BOC02,GEN01,9003,
2008,MDW,Midwest,NHIS,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (18+); NHIS,Age-Standardized,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Race,Non-Hispanic Asian,C1,T1,NS001,AgeStdz,BOC04,RAC03,9002,
2010,MDW,Midwest,NHIS,None,None,None,None,Risk Factors,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Age-Standardized,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Race,Non-Hispanic White,C2,T9,NS013,AgeStdz,BOC04,RAC01,9002,
2012,MDW,Midwest,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (18+); NHIS,Crude,Percent (%),2.3,2.3,,,1.8,3.1,Gender,Male,C1,T6,NS004,Crude,BOC02,GEN01,9002,
2016,MDW,Midwest,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (18+); NHIS,Age-Standardized,Percent (%),2.3,2.3,,,1.9,2.8,Race,Non-Hispanic White,C1,T6,NS004,AgeStdz,BOC04,RAC01,9002,
2010,SOU,South,NHIS,None,None,None,None,Risk Factors,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Race,Non-Hispanic Black,C2,T9,NS013,Crude,BOC04,RAC02,9003,
2011,MDW,Midwest,NHIS,None,None,Healthy People 2020,None,Risk Factors,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,Percent (%),21.2,21.2,,,17.3,25.6,Age,18-24,C2,T14,NS011,Crude,BOC03,AGE01,9002,
2005,MDW,Midwest,NHIS,None,None,Healthy People 2020,None,Risk Factors,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Age,35+,C2,T9,NS012,Crude,BOC03,AGE07,9002,
2002,MDW,Midwest,NHIS,None,None,Healthy People 2020,None,Risk Factors,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Race,Hispanic,C2,T9,NS012,Crude,BOC04,RAC04,9002,
2006,SOU,South,NHIS,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (18+); NHIS,Age-Standardized,Percent (%),8.5,8.5,,,7.7,9.4,Race,Non-Hispanic White,C1,T1,NS001,AgeStdz,BOC04,RAC01,9003,
2001,MDW,Midwest,NHIS,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (18+); NHIS,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Race,Non-Hispanic Asian,C1,T1,NS001,Crude,BOC04,RAC03,9002,
2015,SOU,South,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Age-Standardized,Percent (%),5.1,5.1,,,3.5,7.5,Race,Non-Hispanic Asian,C2,T15,NS010,AgeStdz,BOC04,RAC03,9003,
2002,MDW,Midwest,NHIS,None,None,None,None,Risk Factors,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Age,65+,C2,T9,NS013,Crude,BOC03,AGE06,9002,
2010,MDW,Midwest,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Age-Standardized,Percent (%),22.0,22.0,,,20.7,23.5,Overall,Overall,C2,T15,NS010,AgeStdz,BOC01,OVR01,9002,
2002,SOU,South,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),Prevalence of acute myocardial infarction (heart attack) among US adults (18+); NHIS,Age-Standardized,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Race,Other,C1,T3,NS003,AgeStdz,BOC04,RAC07,9003,
2003,SOU,South,NHIS,None,None,Healthy People 2020,None,Risk Factors,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,Percent (%),83.7,83.7,,,72.5,90.9,Race,Other,C2,T9,NS012,Crude,BOC04,RAC07,9003,
2008,SOU,South,NHIS,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (18+); NHIS,Crude,Percent (%),35.2,35.2,,,31.0,39.6,Age,75+,C1,T1,NS001,Crude,BOC03,AGE08,9003,
2013,MDW,Midwest,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),Prevalence of acute myocardial infarction (heart attack) among US adults (18+); NHIS,Crude,Percent (%),5.2,5.2,,,4.2,6.2,Gender,Male,C1,T3,NS003,Crude,BOC02,GEN01,9002,
2003,SOU,South,NHIS,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (18+); NHIS,Crude,Percent (%),28.1,28.1,,,25.7,30.6,Age,65+,C1,T1,NS001,Crude,BOC03,AGE06,9003,
2001,MDW,Midwest,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),Prevalence of acute myocardial infarction (heart attack) among US adults (18+); NHIS,Age-Standardized,Percent (%),1.1,1.1,,,0.7,1.9,Race,Hispanic,C1,T3,NS003,AgeStdz,BOC04,RAC04,9002,
2014,SOU,South,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,Percent (%),15.0,15.0,,,12.2,18.4,Age,18-24,C2,T15,NS010,Crude,BOC03,AGE01,9003,
2013,SOU,South,NHIS,None,None,None,None,Risk Factors,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Race,Hispanic,C2,T9,NS013,Crude,BOC04,RAC04,9003,
2012,SOU,South,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),Prevalence of acute myocardial infarction (heart attack) among US adults (18+); NHIS,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Age,18-24,C1,T3,NS003,Crude,BOC03,AGE01,9003,
2006,MDW,Midwest,NHIS,None,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+); NHIS,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Age,25-44,C1,T4,NS002,Crude,BOC03,AGE04,9002,
2015,MDW,Midwest,NHIS,None,None,Healthy People 2020,None,Risk Factors,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Age,75+,C2,T9,NS012,Crude,BOC03,AGE08,9002,
2012,SOU,South,NHIS,None,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+); NHIS,Crude,Percent (%),6.0,6.0,,,5.1,7.1,Age,45-64,C1,T4,NS002,Crude,BOC03,AGE05,9003,
2010,SOU,South,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (18+); NHIS,Crude,Percent (%),3.7,3.7,,,3.0,4.5,Age,45-64,C1,T6,NS004,Crude,BOC03,AGE05,9003,
2001,MDW,Midwest,NHIS,None,None,Healthy People 2020,None,Risk Factors,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,Percent (%),30.8,30.8,,,28.2,33.6,Gender,Male,C2,T14,NS011,Crude,BOC02,GEN01,9002,
2016,MDW,Midwest,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,Percent (%),18.5,18.5,,,17.3,19.7,Race,Non-Hispanic White,C2,T15,NS010,Crude,BOC04,RAC01,9002,
2001,MDW,Midwest,NHIS,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (18+); NHIS,Crude,Percent (%),7.4,7.4,,,5.9,9.2,Race,Non-Hispanic Black,C1,T1,NS001,Crude,BOC04,RAC02,9002,
2010,MDW,Midwest,NHIS,None,None,None,None,Risk Factors,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Age-Standardized,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Gender,Female,C2,T9,NS013,AgeStdz,BOC02,GEN02,9002,
2017,SOU,South,NHIS,None,None,Healthy People 2020,None,Risk Factors,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Race,Non-Hispanic White,C2,T9,NS012,Crude,BOC04,RAC01,9003,
2017,MDW,Midwest,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (18+); NHIS,Age-Standardized,Percent (%),3.2,3.2,,,2.7,3.7,Overall,Overall,C1,T6,NS004,AgeStdz,BOC01,OVR01,9002,
2006,SOU,South,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),Prevalence of acute myocardial infarction (heart attack) among US adults (18+); NHIS,Crude,Percent (%),2.7,2.7,,,1.7,4.3,Race,Other,C1,T3,NS003,Crude,BOC04,RAC07,9003,
2014,MDW,Midwest,NHIS,None,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+); NHIS,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Race,Non-Hispanic Black,C1,T4,NS002,Crude,BOC04,RAC02,9002,
2012,MDW,Midwest,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Age-Standardized,Percent (%),19.2,19.2,,,17.6,20.9,Gender,Female,C2,T15,NS010,AgeStdz,BOC02,GEN02,9002,
2010,MDW,Midwest,NHIS,None,None,Healthy People 2020,None,Risk Factors,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,Percent (%),27.2,27.2,,,24.8,29.8,Gender,Male,C2,T14,NS011,Crude,BOC02,GEN01,9002,
2000,SOU,South,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (18+); NHIS,Crude,Percent (%),2.6,2.6,,,2.0,3.5,Age,45-64,C1,T6,NS004,Crude,BOC03,AGE05,9003,
2001,MDW,Midwest,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,Percent (%),27.7,27.7,,,25.8,29.7,Gender,Male,C2,T15,NS010,Crude,BOC02,GEN01,9002,
2017,SOU,South,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (18+); NHIS,Crude,Percent (%),4.4,4.4,,,3.4,5.7,Race,Non-Hispanic Black,C1,T6,NS004,Crude,BOC04,RAC02,9003,
2017,SOU,South,NHIS,None,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+); NHIS,Crude,Percent (%),4.2,4.2,,,2.5,6.9,Race,Non-Hispanic Asian,C1,T4,NS002,Crude,BOC04,RAC03,9003,
2011,MDW,Midwest,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),Prevalence of acute myocardial infarction (heart attack) among US adults (18+); NHIS,Age-Standardized,Percent (%),3.1,3.1,,,2.7,3.6,Overall,Overall,C1,T3,NS003,AgeStdz,BOC01,OVR01,9002,
2007,MDW,Midwest,NHIS,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (18+); NHIS,Crude,Percent (%),8.4,8.4,,,7.3,9.7,Race,Non-Hispanic White,C1,T1,NS001,Crude,BOC04,RAC01,9002,
2016,SOU,South,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,Percent (%),19.7,19.7,,,18.0,21.6,Gender,Male,C2,T15,NS010,Crude,BOC02,GEN01,9003,
2011,SOU,South,NHIS,None,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+); NHIS,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Age,18-24,C1,T4,NS002,Crude,BOC03,AGE01,9003,
2005,MDW,Midwest,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (18+); NHIS,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Age,25-44,C1,T6,NS004,Crude,BOC03,AGE04,9002,
2012,SOU,South,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),Prevalence of acute myocardial infarction (heart attack) among US adults (18+); NHIS,Age-Standardized,Percent (%),3.4,3.4,,,3.1,3.8,Overall,Overall,C1,T3,NS003,AgeStdz,BOC01,OVR01,9003,
2015,SOU,South,NHIS,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (18+); NHIS,Crude,Percent (%),15.3,15.3,,,9.9,22.8,Race,Other,C1,T1,NS001,Crude,BOC04,RAC07,9003,
2001,SOU,South,NHIS,None,None,None,None,Risk Factors,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Race,Hispanic,C2,T9,NS013,Crude,BOC04,RAC04,9003,
2011,SOU,South,NHIS,None,None,Healthy People 2020,None,Risk Factors,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,Percent (%),29.5,29.5,,,27.4,31.6,Age,25-44,C2,T14,NS011,Crude,BOC03,AGE04,9003,
2008,SOU,South,NHIS,None,None,None,None,Risk Factors,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Crude,Percent (%),95.4,95.4,,,94.6,96.0,Race,Non-Hispanic White,C2,T9,NS013,Crude,BOC04,RAC01,9003,
2008,MDW,Midwest,NHIS,None,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+); NHIS,Age-Standardized,Percent (%),2.4,2.4,,,1.9,3.1,Gender,Female,C1,T4,NS002,AgeStdz,BOC02,GEN02,9002,
2001,SOU,South,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (18+); NHIS,Age-Standardized,Percent (%),3.6,3.6,,,2.7,4.7,Race,Non-Hispanic Black,C1,T6,NS004,AgeStdz,BOC04,RAC02,9003,
2011,SOU,South,NHIS,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (18+); NHIS,Crude,Percent (%),10.1,10.1,,,9.2,11.1,Race,Non-Hispanic White,C1,T1,NS001,Crude,BOC04,RAC01,9003,
2016,MDW,Midwest,NHIS,None,None,Healthy People 2020,None,Risk Factors,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Age-Standardized,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Gender,Male,C2,T9,NS012,AgeStdz,BOC02,GEN01,9002,
2017,MDW,Midwest,NHIS,None,None,Healthy People 2020,None,Risk Factors,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Age-Standardized,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Overall,Overall,C2,T9,NS012,AgeStdz,BOC01,OVR01,9002,
2003,SOU,South,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Age-Standardized,Percent (%),25.4,25.4,,,24.1,26.9,Race,Non-Hispanic White,C2,T15,NS010,AgeStdz,BOC04,RAC01,9003,
2002,SOU,South,NHIS,None,None,None,None,Risk Factors,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Age,65+,C2,T9,NS013,Crude,BOC03,AGE06,9003,
2011,MDW,Midwest,NHIS,None,None,Healthy People 2020,None,Risk Factors,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Age,25-44,C2,T9,NS012,Crude,BOC03,AGE04,9002,
2013,SOU,South,NHIS,None,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+); NHIS,Crude,Percent (%),2.8,2.8,,,2.1,3.7,Race,Hispanic,C1,T4,NS002,Crude,BOC04,RAC04,9003,
2013,MDW,Midwest,NHIS,None,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+); NHIS,Crude,Percent (%),4.8,4.8,,,3.4,6.8,Race,Non-Hispanic Black,C1,T4,NS002,Crude,BOC04,RAC02,9002,
2017,MDW,Midwest,NHIS,None,None,None,None,Risk Factors,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Age-Standardized,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Race,Non-Hispanic Asian,C2,T9,NS013,AgeStdz,BOC04,RAC03,9002,
2003,SOU,South,NHIS,None,None,Healthy People 2020,None,Risk Factors,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Age-Standardized,Percent (%),92.6,92.6,,,91.6,93.4,Gender,Female,C2,T9,NS012,AgeStdz,BOC02,GEN02,9003,
2003,MDW,Midwest,NHIS,None,None,Healthy People 2020,None,Risk Factors,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,Percent (%),87.3,87.3,,,84.1,90.0,Age,18-24,C2,T9,NS012,Crude,BOC03,AGE01,9002,
2013,MDW,Midwest,NHIS,None,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+); NHIS,Age-Standardized,Percent (%),4.9,4.9,,,4.4,5.5,Overall,Overall,C1,T4,NS002,AgeStdz,BOC01,OVR01,9002,
2012,SOU,South,NHIS,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (18+); NHIS,Crude,Percent (%),1.8,1.8,,,1.4,2.3,Age,25-44,C1,T1,NS001,Crude,BOC03,AGE04,9003,
2013,MDW,Midwest,NHIS,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (18+); NHIS,Crude,Percent (%),9.0,9.0,,,8.2,9.8,Overall,Overall,C1,T1,NS001,Crude,BOC01,OVR01,9002,
2017,SOU,South,NHIS,None,None,None,None,Risk Factors,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Gender,Male,C2,T9,NS013,Crude,BOC02,GEN01,9003,
2009,MDW,Midwest,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,Percent (%),20.8,20.8,,,19.2,22.4,Gender,Female,C2,T15,NS010,Crude,BOC02,GEN02,9002,
2001,SOU,South,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (18+); NHIS,Age-Standardized,Percent (%),2.5,2.5,,,2.1,2.8,Race,Non-Hispanic White,C1,T6,NS004,AgeStdz,BOC04,RAC01,9003,
2001,MDW,Midwest,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,Percent (%),22.5,22.5,,,20.6,24.5,Gender,Female,C2,T15,NS010,Crude,BOC02,GEN02,9002,
2014,SOU,South,NHIS,None,None,Healthy People 2020,None,Risk Factors,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Age-Standardized,Percent (%),34.9,34.9,,,32.3,37.6,Race,Non-Hispanic Black,C2,T14,NS011,AgeStdz,BOC04,RAC02,9003,
2003,MDW,Midwest,NHIS,None,None,None,None,Risk Factors,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Age-Standardized,Percent (%),95.8,95.8,,,95.0,96.5,Gender,Female,C2,T9,NS013,AgeStdz,BOC02,GEN02,9002,
2011,SOU,South,NHIS,None,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+); NHIS,Age-Standardized,Percent (%),3.7,3.7,,,3.3,4.2,Gender,Female,C1,T4,NS002,AgeStdz,BOC02,GEN02,9003,
2000,SOU,South,NHIS,None,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+); NHIS,Crude,Percent (%),3.0,3.0,,,2.5,3.5,Gender,Female,C1,T4,NS002,Crude,BOC02,GEN02,9003,
2001,SOU,South,NHIS,None,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+); NHIS,Crude,Percent (%),3.4,3.4,,,2.7,4.3,Race,Non-Hispanic Black,C1,T4,NS002,Crude,BOC04,RAC02,9003,
2005,SOU,South,NHIS,None,None,None,None,Risk Factors,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Race,Hispanic,C2,T9,NS013,Crude,BOC04,RAC04,9003,
2016,SOU,South,NHIS,None,None,Healthy People 2020,None,Risk Factors,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Age,75+,C2,T9,NS012,Crude,BOC03,AGE08,9003,
2005,MDW,Midwest,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (18+); NHIS,Age-Standardized,Percent (%),2.3,2.3,,,2.0,2.6,Overall,Overall,C1,T6,NS004,AgeStdz,BOC01,OVR01,9002,
